#LINK
#lang	ja
#attribution_name	yellow
#license	http://creativecommons.org/publicdomain/zero/1.0/deed.ja
#file_name	DC_characters
#download_from	http://linkdata.org/work/rdf1s548i
#property	http://xmlns.com/foaf/0.1/knows	年齢
#object_type_xsd	string	string
#property_context	Assertion	Assertion
http://ja.wikipedia.org/wiki/%E6%B1%9F%E6%88%B8%E5%B7%9D%E3%82%B3%E3%83%8A%E3%83%B3	江戸川コナン	6
http://ja.wikipedia.org/wiki/%E6%AF%9B%E5%88%A9%E8%98%AD	毛利蘭	16
http://ja.wikipedia.org/wiki/%E6%AF%9B%E5%88%A9%E5%B0%8F%E4%BA%94%E9%83%8E	毛利小五郎	37
http://ja.wikipedia.org/wiki/%E5%B0%91%E5%B9%B4%E6%8E%A2%E5%81%B5%E5%9B%A3_%28%E5%90%8D%E6%8E%A2%E5%81%B5%E3%82%B3%E3%83%8A%E3%83%B3%29	吉田歩美	6
http://ja.wikipedia.org/wiki/%E5%B0%91%E5%B9%B4%E6%8E%A2%E5%81%B5%E5%9B%A3_%28%E5%90%8D%E6%8E%A2%E5%81%B5%E3%82%B3%E3%83%8A%E3%83%B3%29	小嶋元太	6
http://ja.wikipedia.org/wiki/%E5%B0%91%E5%B9%B4%E6%8E%A2%E5%81%B5%E5%9B%A3_%28%E5%90%8D%E6%8E%A2%E5%81%B5%E3%82%B3%E3%83%8A%E3%83%B3%29	円谷光彦	6
http://ja.wikipedia.org/wiki/%E7%81%B0%E5%8E%9F%E5%93%80	灰原哀	6
http://ja.wikipedia.org/wiki/%E9%98%BF%E7%AC%A0%E5%8D%9A%E5%A3%AB	阿笠博士	52
http://ja.wikipedia.org/wiki/%E9%88%B4%E6%9C%A8%E5%9C%92%E5%AD%90	鈴木園子	16
http://ja.wikipedia.org/wiki/%E5%90%8D%E6%8E%A2%E5%81%B5%E3%82%B3%E3%83%8A%E3%83%B3%E3%81%AE%E7%99%BB%E5%A0%B4%E4%BA%BA%E7%89%A9	工藤新一	16
http://ja.wikipedia.org/wiki/%E5%90%8D%E6%8E%A2%E5%81%B5%E3%82%B3%E3%83%8A%E3%83%B3%E3%81%AE%E7%99%BB%E5%A0%B4%E4%BA%BA%E7%89%A9	工藤優作	unknown
http://ja.wikipedia.org/wiki/%E5%90%8D%E6%8E%A2%E5%81%B5%E3%82%B3%E3%83%8A%E3%83%B3%E3%81%AE%E7%99%BB%E5%A0%B4%E4%BA%BA%E7%89%A9	工藤有希子	unknown
http://ja.wikipedia.org/wiki/%E7%9B%AE%E6%9A%AE%E5%8D%81%E4%B8%89	目暮警部	unknown
http://ja.wikipedia.org/wiki/%E5%90%8D%E6%8E%A2%E5%81%B5%E3%82%B3%E3%83%8A%E3%83%B3%E3%81%AE%E7%99%BB%E5%A0%B4%E4%BA%BA%E7%89%A9	白鳥警部	unknown
http://ja.wikipedia.org/wiki/%E5%90%8D%E6%8E%A2%E5%81%B5%E3%82%B3%E3%83%8A%E3%83%B3%E3%81%AE%E7%99%BB%E5%A0%B4%E4%BA%BA%E7%89%A9	高木刑事	unknown
http://ja.wikipedia.org/wiki/%E5%90%8D%E6%8E%A2%E5%81%B5%E3%82%B3%E3%83%8A%E3%83%B3%E3%81%AE%E7%99%BB%E5%A0%B4%E4%BA%BA%E7%89%A9	佐藤刑事	unknown
http://ja.wikipedia.org/wiki/%E5%90%8D%E6%8E%A2%E5%81%B5%E3%82%B3%E3%83%8A%E3%83%B3%E3%81%AE%E7%99%BB%E5%A0%B4%E4%BA%BA%E7%89%A9	宮本由美	unknown
http://ja.wikipedia.org/wiki/%E5%90%8D%E6%8E%A2%E5%81%B5%E3%82%B3%E3%83%8A%E3%83%B3%E3%81%AE%E7%99%BB%E5%A0%B4%E4%BA%BA%E7%89%A9	千葉刑事	unknown
http://ja.wikipedia.org/wiki/%E5%90%8D%E6%8E%A2%E5%81%B5%E3%82%B3%E3%83%8A%E3%83%B3%E3%81%AE%E7%99%BB%E5%A0%B4%E4%BA%BA%E7%89%A9	トメさん	unknown
http://ja.wikipedia.org/wiki/%E6%9C%8D%E9%83%A8%E5%B9%B3%E6%AC%A1	服部平次	17
http://ja.wikipedia.org/wiki/%E5%90%8D%E6%8E%A2%E5%81%B5%E3%82%B3%E3%83%8A%E3%83%B3%E3%81%AE%E7%99%BB%E5%A0%B4%E4%BA%BA%E7%89%A9	遠山和葉	17
